sort_key,family,unit_name,root_path,unit_type,current_owner_repo,runtime_role,duplication_status,canonical_upstream_lineage,contamination_status,target_destination_repo,target_worktree,status,notes
0010,workspace-artifacts,deliverables-root,/Users/paulcooper/Documents/Codex Master Folder/deliverables,archive,none,export-archive,unique,self,clean,archive-only,none,active,Do not treat as source repo
0011,workspace-artifacts,about-paul-archive,/Users/paulcooper/Documents/Codex Master Folder/About Paul,archive,none,research-archive,unique,self,clean,archive-only,none,active,Knowledge archive not product code
0012,workspace-artifacts,council-shared-folder,/Users/paulcooper/Documents/Codex Master Folder/Council Shared Folder,archive,none,shared-log-store,unique,self,clean,archive-only,none,active,Append-only operational logs
0013,workspace-artifacts,decomposition-root,/Users/paulcooper/Documents/Codex Master Folder/decomposition,docs-pack,none,planning-artifacts,unique,self,clean,archive-only,none,active,Planning-only material
0014,tools,image-catalog-viewer,/Users/paulcooper/Documents/Codex Master Folder/image-catalog-viewer,app-root,none,viewer-tool,unique,self,clean,future image-catalog-viewer repo,image-catalog-viewer,pending,Standalone tool candidate
0015,tools,houdini-codex-mcp,/Users/paulcooper/Documents/Codex Master Folder/houdini-codex-mcp,service-root,none,houdini-mcp-tool,unique,self,clean,future houdini-codex-mcp repo,houdini-codex-mcp,pending,Standalone tool candidate
0016,tools,metacanon-code-api,/Users/paulcooper/Documents/Codex Master Folder/metacanon-code-api,service-root,none,code-api-service,unique,self,clean,future metacanon-code-api repo,metacanon-code-api,pending,Standalone service candidate
0017,tools,planes-of-existence-viewer,/Users/paulcooper/Documents/Codex Master Folder/planes-of-existence-viewer,app-root,none,viewer-app,unique,self,clean,future planes-of-existence-viewer repo,planes-of-existence-viewer,pending,Standalone viewer candidate
0018,tools,ffi-node,/Users/paulcooper/Documents/Codex Master Folder/ffi-node,service-root,none,node-ffi-bridge,unique,self,clean,future ffi-node repo,ffi-node,pending,Standalone bridge candidate
0019,tools,sovereign-jewel-web,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-web,legacy-root,none,legacy-web-prototype,unknown,pending-audit,pending-review,future sovereign-jewel-web repo,sovereign-jewel-web,pending,Needs separate deep pass
0100,castle-members,castle-member-anna-repo,/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna,repo,castle-member-anna,anna-member-site,unique,Anna Phoenix V1,clean,castle-member-anna,mainline,active,Concrete baseline for castle-member family
0101,castle-members,anna-world-feature,/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/client/src/features/anna,feature-root,castle-member-anna,member-world-implementation,unique,Anna Phoenix V1,clean,castle-member-anna,mainline,active,Canonical castle-member implementation seed
0102,castle-members,anna-sections-shell,/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/client/src/components/sections,component-shell,castle-member-anna,editorial-sections-shell,shared-lineage,castle-member-anna family shell,clean,castle-member-anna,mainline,active,Shared structural shell for member sites
0103,castle-members,anna-server-shared,/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/server,server-root,castle-member-anna,member-backend,unique,Anna Phoenix V1,clean,castle-member-anna,mainline,active,Paired with shared runtime
0104,castle-members,anna-shared-runtime,/Users/paulcooper/Documents/Codex Master Folder/castle-member-anna/shared,shared-runtime,castle-member-anna,member-shared-runtime,shared-lineage,castle-member-anna family runtime,clean,castle-member-anna,mainline,active,Shared runtime layer
0110,castle-members,castle-member-diana-root,/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana,app-root,Codex Master Folder,diana-peer-realm,peer-realm-with-local-contamination,Anna Phoenix V1,contaminated,future castle-member-diana repo,mainline,pending-extraction,Currently tracked by umbrella repo
0111,castle-members,diana-world-feature,/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana/client/src/features/diana,feature-root,Codex Master Folder,diana-peer-realm-feature,peer-realm-specific,Anna Phoenix V1 derivative,clean,future castle-member-diana repo,mainline,pending-extraction,Diana-specific feature set
0112,castle-members,diana-anna-carryover-feature,/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana/client/src/features/anna,contamination-root,Codex Master Folder,unexpected-carryover,duplicate-local-copy,castle-member-anna/client/src/features/anna,contaminated,future castle-member-diana repo,cleanup,pending-extraction,Must be removed or archived during extraction
0113,castle-members,diana-anna-source-carryover,/Users/paulcooper/Documents/Codex Master Folder/castle-member-diana/source/anna,contamination-root,Codex Master Folder,unexpected-source-carryover,duplicate-local-copy,castle-member-anna/source/anna,contaminated,future castle-member-diana repo,cleanup,pending-extraction,Anna source assets embedded in Diana tree
0120,castle-members,castle-member-liana-root,/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana,app-root,Codex Master Folder,liana-peer-realm,peer-realm-with-local-contamination,Anna Phoenix V1,contaminated,future castle-member-liana repo,mainline,pending-extraction,Currently tracked by umbrella repo
0121,castle-members,liana-world-feature,/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana/client/src/features/liana,feature-root,Codex Master Folder,liana-peer-realm-feature,peer-realm-specific,Anna Phoenix V1 derivative,clean,future castle-member-liana repo,mainline,pending-extraction,Liana-specific feature set
0122,castle-members,liana-anna-source-carryover,/Users/paulcooper/Documents/Codex Master Folder/castle-member-liana/source/anna,contamination-root,Codex Master Folder,unexpected-source-carryover,duplicate-local-copy,castle-member-anna/source/anna,contaminated,future castle-member-liana repo,cleanup,pending-extraction,Anna source assets embedded in Liana tree
0200,webgl,sovereign-jewel-next-root,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next,app-root,none,jewel-public-site,independent-root,shared WebGL lineage with metacanon-ddos,clean,future sovereign-jewel-next repo,mainline,pending-promotion,Standalone Next root not yet promoted to repo
0201,webgl,jewel-public-shell,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next/components/sovereign-jewel-app.tsx,user-shell,none,public-jewel-shell,unique-with-shared-assets,sovereign-jewel-next,clean,future sovereign-jewel-next repo,public,pending-promotion,Mounted by app/page.tsx
0202,webgl,jewel-geometry-viewer-lab,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next/components/geometry-viewer.tsx,lab,none,geometry-lab,unique-with-shared-assets,sovereign-jewel-next viewer line,clean,future sovereign-jewel-next repo,geometry-lab,pending-promotion,Mounted by app/viewer/page.tsx
0203,webgl,jewel-breakup-engine,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next/components/object-breakup.tsx,engine,none,breakup-animation-engine,duplicated-lineage,shared with metacanon-ddos breakup engine,clean,future sovereign-jewel-next repo,breakup-engine,pending-promotion,Pairs with dodecahedron-breakup and shard libs
0204,webgl,jewel-geometry-math-libs,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next/lib,library,none,geometry-and-shard-libs,duplicated-lineage,shared with metacanon-ddos lib lineage,clean,future sovereign-jewel-next repo,geometry-core,pending-promotion,Contains shard and surface math
0205,webgl,jewel-asset-pipeline,/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-next/scripts,asset-pipeline,none,blender-and-render-pipeline,duplicated-lineage,shared with metacanon-ddos scripts lineage,clean,future sovereign-jewel-next repo,asset-pipeline,pending-promotion,Backed by blender and public model assets
0210,webgl,metacanon-ddos-root,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos,app-root,none,ddos-declaration-site,independent-root,shared WebGL lineage with sovereign-jewel-next,contaminated-name,future metacanon-ddos repo,mainline,pending-promotion,Package identity still equals sovereign-jewel-next
0211,webgl,ddos-declaration-shell,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos/components/declaration-experience.tsx,user-shell,none,ddos-public-shell,unique,metacanon-ddos,clean,future metacanon-ddos repo,public,pending-promotion,Mounted by app/page.tsx
0212,webgl,ddos-constitution-pipeline,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos/components/constitution-renderer.tsx,document-pipeline,none,constitution-render-and-verify,unique,metacanon-ddos,clean,future metacanon-ddos repo,constitution,pending-promotion,Pairs with verify-panel and content markdown
0213,webgl,ddos-api-prisma-layer,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos/app/api,api-layer,none,verification-and-storage-api,unique,metacanon-ddos,clean,future metacanon-ddos repo,api,pending-promotion,Backed by lib and generated prisma
0214,webgl,ddos-duplicated-jewel-engine,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos/components/object-breakup.tsx,engine-copy,none,breakup-animation-engine,duplicate-local-copy,sovereign-jewel-next breakup and geometry engine,contaminated-lineage,future metacanon-ddos repo,engine-review,pending-promotion,Explicit duplicate engine copy
0215,webgl,ddos-duplicated-asset-pipeline,/Users/paulcooper/Documents/Codex Master Folder/metacanon-ddos/scripts,asset-pipeline-copy,none,blender-and-render-pipeline,duplicate-local-copy,sovereign-jewel-next scripts lineage,contaminated-lineage,future metacanon-ddos repo,engine-review,pending-promotion,Explicit duplicate script pipeline
0220,webgl,prism-feralpharaoh-repo,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh,repo,prism-feralpharaoh,independent-prism-product,independent-root,shared Prism overlay lineage with anything-llm,clean,prism-feralpharaoh,mainline,active,Independent product by decision
0221,webgl,prism-feral-product-shell,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/Main,product-shell,prism-feralpharaoh,main-app-shell,shared-lineage,independent Prism product shell,clean,prism-feralpharaoh,product,pending-normalization,AnythingLLM-style shell
0222,webgl,prism-feral-metacanon-control-center,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/MetacanonAI,control-surface,prism-feralpharaoh,metacanon-control-center,duplicate-local-copy,anything-llm/frontend/src/pages/MetacanonAI,duplicated-lineage,prism-feralpharaoh,metacanon-surface,pending-normalization,Byte-identical overlay lineage exists in anything-llm
0223,webgl,prism-feral-prism-hero,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/PrismHero,lab,prism-feralpharaoh,hero-webgl-lab,duplicate-local-copy,anything-llm/frontend/src/pages/PrismHero,duplicated-lineage,prism-feralpharaoh,prism-hero,pending-normalization,Independent product but duplicated lab lineage
0224,webgl,prism-feral-prism-dodecahedron,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/PrismDodecahedron,lab,prism-feralpharaoh,dodecahedron-music-lab,duplicate-local-copy,anything-llm/frontend/src/pages/PrismDodecahedron,duplicated-lineage,prism-feralpharaoh,prism-dodeca,pending-normalization,Independent product but duplicated lab lineage
0225,webgl,prism-feral-overlay-components,/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/components/Metacanon,overlay-layer,prism-feralpharaoh,prism-metacanon-overlay,duplicate-local-copy,anything-llm/frontend/src/components/Metacanon and Prism components,duplicated-lineage,prism-feralpharaoh,overlay,pending-normalization,Includes Ambient and related overlay shell
0230,webgl,metacanonai-root,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai,app-root,sovereign-metaverse,canonical-metacanon-app,independent-root,self,clean,sovereign-metaverse,metacanonai-main,active,Canonical Metacanon app in monorepo
0231,webgl,metacanonai-public-fortress,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/app/page.tsx,user-shell,sovereign-metaverse,public-fortress-site,unique,metacanonai,clean,sovereign-metaverse,metacanonai-public,active,Primary public surface
0232,webgl,metacanonai-subworld-runtime,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/components/subworlds,subsystem,sovereign-metaverse,subworld-runtime,unique,metacanonai,clean,sovereign-metaverse,metacanonai-subworlds,active,Pairs with app/[slug] and site-config
0233,webgl,metacanonai-workbench-family,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/app/%5F%5Fworkbench,tooling-surface,sovereign-metaverse,scene-and-cockpit-workbench,unique,metacanonai,clean,sovereign-metaverse,metacanonai-cockpit,active,Includes cockpit reset and scene lab routes
0234,webgl,metacanonai-citadel-runtime,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/lib/workbench,runtime-layer,sovereign-metaverse,citadel-tuning-and-audio-runtime,unique,metacanonai,clean,sovereign-metaverse,metacanonai-cockpit,active,Part tuning and runtime state layer
0235,webgl,metacanonai-api-layer,/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/app/api,api-layer,sovereign-metaverse,workbench-and-runtime-api,unique,metacanonai,clean,sovereign-metaverse,metacanonai-cockpit,active,Local runtime and preset API routes
0300,prismai,anything-llm-repo,/Users/paulcooper/Documents/Codex Master Folder/anything-llm,repo,anything-llm,prismai-core-product,independent-root,Mintplex AnythingLLM fork,dirty,anything-llm,prismai-core,active,Core PrismAI product fork
0301,prismai,anything-frontend-core,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/frontend,frontend-root,anything-llm,core-web-frontend,shared-with-overlay,Mintplex AnythingLLM frontend,clean-with-overlay,anything-llm,prismai-frontend,active,Core app shell plus PrismAI additions
0302,prismai,anything-server,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/server,server-root,anything-llm,core-backend,unique,Mintplex AnythingLLM server,clean,anything-llm,prismai-server,active,Backend service layer
0303,prismai,anything-collector,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/collector,collector-root,anything-llm,content-collector,unique,Mintplex AnythingLLM collector,clean,anything-llm,prismai-collector,active,Ingestion pipeline
0304,prismai,anything-desktop-tauri,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/desktop-tauri,desktop-app,anything-llm,desktop-product,unique,PrismAI desktop fork,dirty,anything-llm,prismai-desktop,active,Large Tauri subtree
0305,prismai,anything-mobile-prismai,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/mobile-ios/PrismAI,mobile-app,anything-llm,mobile-prismai-app,unique,PrismAI mobile line,clean,anything-llm,prismai-mobile,active,Separate mobile product surface
0306,prismai,anything-prism-metacanon-overlay,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/frontend/src,overlay-layer,anything-llm,prism-and-metacanon-frontend-overlay,duplicated-lineage,shared with prism-feralpharaoh overlay and labs,contaminated-lineage,anything-llm,prismai-overlay,active,Contains MetacanonAI and Prism pages
0307,prismai,anything-metacanon-data-docs,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/data/metacanon,docs-data-pack,anything-llm,metacanon-library-and-governance-data,unique,PrismAI overlay support layer,clean,anything-llm,prismai-overlay,active,Governance docs and imported data
0308,prismai,anything-cloud-deploy,/Users/paulcooper/Documents/Codex Master Folder/anything-llm/cloud-deployments,deploy-pack,anything-llm,infra-and-deploy-pack,unique,Mintplex deploy lineage,clean,anything-llm,prismai-ops,active,Keep separate from feature work
0400,council-lensforge-sphere,sphere-thread-engine-repo,/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine,repo,sphere-thread-engine,sphere-thread-product,shared-package-identity,council-engine family lineage,clean,sphere-thread-engine,mainline,active,Only repo in this overlapping trio
0401,council-lensforge-sphere,sphere-thread-engine-engine,/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine/engine,engine,sphere-thread-engine,core-engine,shared-package-identity,council-engine family lineage,clean,sphere-thread-engine,engine,active,Engine subtree
0402,council-lensforge-sphere,sphere-thread-engine-tma,/Users/paulcooper/Documents/Codex Master Folder/sphere-thread-engine/tma,app-surface,sphere-thread-engine,tma-surface,shared-package-identity,council-engine family lineage,clean,sphere-thread-engine,tma,active,Vite tma surface
0410,council-lensforge-sphere,council-engine-root,/Users/paulcooper/Documents/Codex Master Folder/council-engine,app-root,none,council-engine-product,shared-package-identity,council-engine family lineage,pending-review,future council-engine repo,mainline,pending-promotion,Not yet a repo
0411,council-lensforge-sphere,council-engine-engine,/Users/paulcooper/Documents/Codex Master Folder/council-engine/engine,engine,none,core-engine,shared-package-identity,council-engine family lineage,pending-review,future council-engine repo,engine,pending-promotion,Matches family package identity
0420,council-lensforge-sphere,lensforge-app-root,/Users/paulcooper/Documents/Codex Master Folder/lensforge-app,app-root,none,lensforge-product,shared-package-identity,council-engine family lineage,pending-review,future lensforge-app repo,mainline,pending-promotion,Not yet a repo
0421,council-lensforge-sphere,lensforge-engine,/Users/paulcooper/Documents/Codex Master Folder/lensforge-app/engine,engine,none,core-engine,shared-package-identity,council-engine family lineage,pending-review,future lensforge-app repo,engine,pending-promotion,Matches family package identity
0422,council-lensforge-sphere,lensforge-tma,/Users/paulcooper/Documents/Codex Master Folder/lensforge-app/tma,app-surface,none,tma-surface,shared-package-identity,council-engine family lineage,pending-review,future lensforge-app repo,tma,pending-promotion,Vite tma surface
0430,council-lensforge-sphere,council-engine-code-copy,/Users/paulcooper/Documents/Codex Master Folder/council-engine-code-copy,archive-copy,none,archived-code-copy,archive-copy,council-engine lineage,clean,archive-only,none,active,Do not treat as active product root
0431,council-lensforge-sphere,council-engine-master-v2,/Users/paulcooper/Documents/Codex Master Folder/council-engine-master-v2,archive-copy,none,archived-code-copy,archive-copy,council-engine lineage,clean,archive-only,none,active,Do not treat as active product root
