sort_key,root_name,root_path,root_type,detection_signals,current_owner,current_role,first_known_source,evidence_type,remote_or_upstream,copy_or_fork_of,duplication_status,family_v2,target_repo,target_worktree,confidence,notes
0011,"sovereign-jewel-web","/Users/paulcooper/Documents/Codex Master Folder/sovereign-jewel-web","static-microsite","index.html; script.js; styles.css","none","Static cinematic Sovereign Jewel microsite","index.html description says Igloo-inspired cinematic landing page concept themed from the Sovereign Jewel deck","static entrypoint files; HTML metadata","none","Sovereign Jewel concept deck lineage","independent-small-program","webgl","future sovereign-jewel-web repo","sovereign-jewel-web",0.90,"Must remain visible as its own microsite root"
0012,"image-catalog-viewer","/Users/paulcooper/Documents/Codex Master Folder/image-catalog-viewer","tool-root","package.json; public/index.html; public/app.js; server.mjs","none","Standalone image catalog viewer","package name image-catalog-viewer; server.mjs calls umbrella scripts/build_image_catalog.py","package manifest; source entrypoints","none","depends on umbrella build_image_catalog.py","independent-small-program-with-cross-root-dependency","standalone-tools-services","future image-catalog-viewer repo","image-catalog-viewer",0.95,"Local tool; not represented in the older family-first audit strongly enough"
0013,"metacanon-code-api","/Users/paulcooper/Documents/Codex Master Folder/metacanon-code-api","service-root","package.json; README.md; src","none","Code snippet and runtime control API","README names API for live source snippets and ffi-node-backed runtime control","README; package manifest; source entrypoints","none","depends on umbrella runtime via ffi-node","independent-service","standalone-tools-services","future metacanon-code-api repo","metacanon-code-api",0.95,"Separate service candidate"
0014,"planes-of-existence-viewer","/Users/paulcooper/Documents/Codex Master Folder/planes-of-existence-viewer","next-app-root","package.json; app; components; scripts","none","Standalone 3D planes viewer","package name planes-of-existence-viewer; viewer route and GLB viewer component define a separate product surface","package manifest; source entrypoints","none","self","independent-small-program","standalone-tools-services","future planes-of-existence-viewer repo","planes-of-existence-viewer",0.92,"Not part of the jewel or metacanon roots; current node_modules symlink to sovereign-jewel-next is install hygiene only"
0015,"ffi-node","/Users/paulcooper/Documents/Codex Master Folder/ffi-node","bridge-root","package.json; index.js; scripts/build-native.sh","none","Node bridge for native MetaCanon runtime addon","package name metacanon-ffi-node; index.js loads metacanon_ai.node and exposes runtime aliases","package manifest; source entrypoints","none","umbrella Rust runtime FFI line","independent-bridge-with-runtime-dependency","standalone-tools-services","future ffi-node repo","ffi-node",0.96,"Separate bridge layer; provenance tied to umbrella runtime"
0016,"houdini-codex-mcp","/Users/paulcooper/Documents/Codex Master Folder/houdini-codex-mcp","service-root","README.md; server.cjs; plugin/pythonrc.py","none","Local MCP bridge for Houdini","README states Codex-facing MCP bridge and says MCP SDK resolved from anything-llm/server","README; source entrypoints","none","depends on anything-llm/server MCP SDK","independent-tool-with-cross-root-dependency","standalone-tools-services","future houdini-codex-mcp repo","houdini-codex-mcp",0.94,"Separate bridge; provenance is local but dependency line is explicit"
0017,"installer-ui","/Users/paulcooper/Documents/Codex Master Folder/installer-ui","handover-workspace","README.md; desktop/package.json; prototype/index.html","none","Installer UI handover plus desktop shell","README maps screens to src/ui.rs and src/main.rs in umbrella runtime","README; desktop manifest; source entrypoints","none","umbrella runtime installer line","independent-root-with-runtime-dependency","umbrella-runtime-installer","Codex Master Folder","umbrella-installer-ui",0.95,"Separate root in the census even though it belongs to the umbrella product family"
0018,"council-engine","/Users/paulcooper/Documents/Codex Master Folder/council-engine","monorepo-root","package.json; README.md; engine; skins","none","Council Engine product root","README names Council Engine monorepo; package name council-engine","README; package manifest; source structure","none","council-engine family lineage","unmanaged-root-with-shared-identity","council-lensforge-sphere","future council-engine repo","council-engine",0.84,"Non-repo active root preserving the Council Engine core/skin/config lineage but not the current git-backed engine anchor"
0019,"lensforge-app","/Users/paulcooper/Documents/Codex Master Folder/lensforge-app","monorepo-root","package.json; README.md; engine; tma; skins","none","LensForge product root","README mirrors Council Engine Synchronous v2; package name still council-engine; tma package is lensforge-tma","README; package manifest; source structure","none","council-engine family lineage","unmanaged-root-with-shared-identity","council-lensforge-sphere","future lensforge-app repo","lensforge-app",0.87,"Hybrid root with shared core plus its own tma surface; current canonical active LensForge seat is tma/"
0020,"council-engine-code-copy","/Users/paulcooper/Documents/Codex Master Folder/council-engine-code-copy","archive-copy-root","nested package.json; nested README","none","Archived code copy of council-engine","nested council-engine copy contains active engine and skin files but has no root manifest of its own","nested package evidence; nested README; source structure","none","council-engine","archive-copy","archives-and-legacy-copies","archive-only","none",0.90,"Keep visible as archive; not an active root"
0021,"council-engine-master-v2","/Users/paulcooper/Documents/Codex Master Folder/council-engine-master-v2","archive-copy-root","nested package.json; nested README","none","Archived council-engine master v2 copy","nested council-engine-master copy contains conductor and queue layers beyond the simpler code copy","nested package evidence; nested README; source structure","none","council-engine family lineage","archive-copy","archives-and-legacy-copies","archive-only","none",0.91,"Archive root with evolved conductor/queue line"
