sort_key,root_name,root_path,unit_name,unit_path,unit_type,current_owner,current_role,first_known_source,evidence_type,remote_or_upstream,copy_or_fork_of,duplication_status,family_v2,target_repo,target_worktree,confidence,notes
0304,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-dodecahedron-music-lab","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/pages/PrismDodecahedron","lab","prism-feralpharaoh","Prism Dodecahedron and music lab","Most files still match anything-llm; index.jsx has now diverged; no direct duplicate-file overlap found with sovereign-metaverse/apps/metacanonai in this pass","duplicate-file lineage; source structure; cross-root comparison","https://github.com/jedisherpa/prism-feralpharaoh.git","historical overlap with anything-llm only","duplicate-local-copy-with-drift","webgl","prism-feralpharaoh","prism-dodeca",0.95,"Manage separately from anything-llm and separately from sovereign-metaverse; relevant to metacanonai only as basic WebGL basis if used at all"
0305,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-overlay-components","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/components/Metacanon","overlay-layer","prism-feralpharaoh","Metacanon overlay components","Ambient and related components match anything-llm overlay","duplicate-file lineage","https://github.com/jedisherpa/prism-feralpharaoh.git","historical overlap with anything-llm only","duplicate-local-copy","webgl","prism-feralpharaoh","overlay",0.97,"Manage separately from anything-llm despite historical file overlap"
0306,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-shared-context-and-hover-layer","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/src/PrismContext.jsx","shared-context","prism-feralpharaoh","Prism shared context and hover layer","PrismContext PrismHoverTarget and PrismPresence match AnythingLLM overlay files","duplicate-file lineage","https://github.com/jedisherpa/prism-feralpharaoh.git","historical overlap with anything-llm only","duplicate-local-copy","webgl","prism-feralpharaoh","overlay",0.97,"Manage separately from anything-llm despite historical file overlap"
0307,"prism-feralpharaoh","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh","prism-postbuild-packaging","/Users/paulcooper/Documents/Codex Master Folder/prism-feralpharaoh/scripts/postbuild.js","build-script","prism-feralpharaoh","postbuild packaging hook","scripts/postbuild.js present in root","source structure","https://github.com/jedisherpa/prism-feralpharaoh.git","local product packaging","unique-descendant","webgl","prism-feralpharaoh","ops",0.82,"Operational support unit"
0400,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metaverse-command-center-app","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/command-center","app-root","sovereign-metaverse","command center app","apps/command-center present in monorepo","pnpm workspace; source structure; README","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","command-center",0.90,"Separate app under the monorepo"
0401,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metaverse-feralpharaoh-app","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/feralpharaoh","app-root","sovereign-metaverse","Feral Pharaoh realm app","apps/feralpharaoh present in monorepo","pnpm workspace; source structure; README","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","feralpharaoh",0.92,"Primary realm app"
0402,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metaverse-godsminddreaming-app","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/godsminddreaming","app-root","sovereign-metaverse","GodsMindDreaming realm app","apps/godsminddreaming present in monorepo","pnpm workspace; source structure; README","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","godsminddreaming",0.92,"Primary realm app"
0403,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metaverse-iampaulcooper-app","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/iampaulcooper","app-root","sovereign-metaverse","I Am Paul Cooper realm app","apps/iampaulcooper present in monorepo","pnpm workspace; source structure; README","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","iampaulcooper",0.92,"Primary realm app"
0404,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metaverse-jedisherpa-app","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/jedisherpa","app-root","sovereign-metaverse","JediSherpa realm app","apps/jedisherpa present in monorepo","pnpm workspace; source structure; README","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","jedisherpa",0.92,"Primary realm app"
0405,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metacanonai-public-fortress","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/app/page.tsx","user-shell","sovereign-metaverse","public fortress site","README calls metacanonai the dodecahedral fortress realm; no direct duplicate-file overlap found with prism-feralpharaoh page/component trees in this pass","README; source entrypoint; cross-root comparison","git@github.com:jedisherpa/sovereign-metaverse.git","self","canonical-product-surface","webgl","sovereign-metaverse","metacanonai-public",0.97,"Canonical public Metacanon page; any prism-feralpharaoh relation is limited to basic WebGL basis for metacanonai.com"
0406,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metacanonai-subworld-runtime","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/components/subworlds","subsystem","sovereign-metaverse","subworld runtime","components/subworlds subtree present in metacanonai","source structure","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","metacanonai-subworlds",0.94,"Distinct internal runtime unit"
0407,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metacanonai-workbench-surface","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/app/%5F%5Fworkbench","tooling-surface","sovereign-metaverse","scene and cockpit workbench routes","populated workbench route family exists under encoded app/%5F%5Fworkbench path; no direct duplicate-file overlap found with prism-feralpharaoh page/component trees in this pass","source structure; cross-root comparison","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","metacanonai-cockpit",0.97,"Populated encoded path; empty sibling app/__workbench also exists and should be tracked as clutter; no broader prism-feralpharaoh ownership should be inferred"
0408,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metacanonai-citadel-runtime","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/lib/workbench","runtime-layer","sovereign-metaverse","citadel tuning audio and state runtime","lib/workbench contains audio motion client state and part tuning layers; no direct duplicate-file overlap found with prism-feralpharaoh page/component trees in this pass","source structure; cross-root comparison","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","metacanonai-cockpit",0.98,"Authoritative live runtime for the cockpit; not a prism-feralpharaoh code seat beyond any earlier WebGL basis used for metacanonai.com"
0409,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","metacanonai-api-layer","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/apps/metacanonai/app/api","api-layer","sovereign-metaverse","workbench and audio API routes","app/api contains workbench audio promote reset and state routes","source structure","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","metacanonai-cockpit",0.97,"API layer supporting live cockpit state"
0410,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-session-utils","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/session-utils","shared-package","sovereign-metaverse","shared session package","README lists @sovmeta/session-utils explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0411,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-supabase-client","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/supabase-client","shared-package","sovereign-metaverse","shared Supabase client package","README lists @sovmeta/supabase-client explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0412,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-animation-utils","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/animation-utils","shared-package","sovereign-metaverse","shared animation package","README lists @sovmeta/animation-utils explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0413,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-ui","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/ui","shared-package","sovereign-metaverse","shared UI package","README lists @sovmeta/ui explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0414,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-portal-system","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/portal-system","shared-package","sovereign-metaverse","shared portal orchestration package","README lists @sovmeta/portal-system explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0415,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-shard-collector","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/shard-collector","shared-package","sovereign-metaverse","shared shard package","README lists @sovmeta/shard-collector explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0416,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-three-utils","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/three-utils","shared-package","sovereign-metaverse","shared Three.js utilities","README lists @sovmeta/three-utils explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0417,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-entrance-engine","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/entrance-engine","shared-package","sovereign-metaverse","shared entrance scene engine","Package exists under @sovmeta and is used by Metacanon entrance work","pnpm workspace; source structure","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.94,"Shared engine package with direct Metacanon relevance"
0418,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","sovmeta-tailwind-config","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/packages/@sovmeta/tailwind-config","shared-package","sovereign-metaverse","shared Tailwind config package","README lists @sovmeta/tailwind-config explicitly","README; pnpm workspace","git@github.com:jedisherpa/sovereign-metaverse.git","self","unique","webgl","sovereign-metaverse","shared-packages",0.96,"Shared package"
0419,"sovereign-metaverse","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse","castle-member-contract-doc-pack","/Users/paulcooper/Documents/Codex Master Folder/sovereign-metaverse/docs/reference/SOVEREIGN_METAVERSE_PROJECT_PLAN_FULL.md","docs-pack","sovereign-metaverse","castle-member contract source","Plan explicitly names future Castle Members and template intent","reference plan; README cross reference","git@github.com:jedisherpa/sovereign-metaverse.git","contract only not concrete template","unique-doc-source","castle-members","sovereign-metaverse","docs-reference",0.97,"Contract seat not implementation seat"
